[INFO] 2024-01-25 00:03:28 : Analysing the "champagne supernova" song.
[INFO] 2024-01-25 00:03:28 : 24 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 25 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 26 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 27 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 28 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 29 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 30 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 31 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 32 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 33 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 34 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 35 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 36 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 37 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 38 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 39 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 40 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 41 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : 42 / 42 rows processed
[INFO] 2024-01-25 00:03:28 : Analysing the "angle child" song.
[INFO] 2024-01-25 00:03:28 : 1 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 2 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 3 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 4 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 5 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 6 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 7 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 8 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 9 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 10 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 11 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 12 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 13 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 14 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 15 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 16 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 17 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 18 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 19 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 20 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 21 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 22 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 23 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 24 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 25 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 26 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 27 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 28 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 29 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 30 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 31 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 32 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 33 / 34 rows processed
[INFO] 2024-01-25 00:03:28 : 34 / 34 rows processed
[INFO] 2024-01-25 00:04:14 : Analysing the "champagne supernova" song.
[INFO] 2024-01-25 00:04:14 : 1 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 2 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 3 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 4 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 5 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 6 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 7 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 8 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 9 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 10 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 11 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 12 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 13 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 14 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 15 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 16 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 17 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 18 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 19 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 20 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 21 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 22 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 23 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 24 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 25 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 26 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 27 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 28 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 29 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 30 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 31 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 32 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 33 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 34 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 35 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 36 / 62 rows processed
